Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,fastARG_completed,tsinfer_completed,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,fastARG_memory,fastARG_cputime,fastARG_edges,fastARG_ts_filesize
130,3,10000,5000,500000,1e-08,1e-08,0,23203,853,931,917279757,False,False,,,,,,,,,,,
131,3,10000,5000,1000000,1e-08,1e-08,0,27058,1879,1878,1678753982,False,False,,,,,,,,,,,
132,3,10000,5000,1500000,1e-08,1e-08,0,30569,2776,2926,597293474,False,True,121344000.0,311.0,7.864013266998342,1188044.0,70.51,138.02960047743593,18968.0,,,,
133,3,10000,5000,2000000,1e-08,1e-08,0,34045,3720,4024,1165403824,True,False,,,,,,,,3314999296.0,2886.29,38191.0,1988788.0
134,3,10000,5000,2500000,1e-08,1e-08,0,36373,4351,4585,1147632683,False,True,137191424.0,427.0,6.739761092150171,1432252.0,139.89,98.77613236613124,23697.0,,,,
135,3,10000,5000,3000000,1e-08,1e-08,0,39786,5239,5751,939612097,False,True,145768448.0,530.0,6.361868626986009,1595884.0,149.9,103.50718246981725,26828.0,,,,
136,3,10000,5000,3500000,1e-08,1e-08,0,43622,6266,6776,204533776,True,True,155561984.0,614.0,6.116926272066459,1735252.0,234.57000000000002,109.97864392706677,29453.0,2962632704.0,4997.5199999999995,50763.0,2582564.0
137,3,10000,5000,4000000,1e-08,1e-08,0,47678,7340,7779,1398269239,True,True,172199936.0,774.0,5.931514374656656,1884916.0,292.16,131.964912356001,32392.0,3421933568.0,5490.28,56371.0,2839932.0
138,3,10000,5000,4500000,1e-08,1e-08,0,50398,8073,8781,744362198,True,False,,,,,,,,3496869888.0,5682.88,60282.0,3029620.0
139,3,10000,5000,5000000,1e-08,1e-08,0,54045,9025,9798,676916513,True,True,198680576.0,942.0,5.655912364945978,2164124.0,399.32,150.26500706074748,37691.0,3646091264.0,6472.7300000000005,64754.0,3245180.0
140,3,10000,5000,5500000,1e-08,1e-08,0,57594,9983,10805,2046201854,True,True,219471872.0,1086.0,5.609300422746489,2330612.0,448.26,178.50833843054264,41133.0,3686285312.0,7354.620000000001,69823.0,3480276.0
141,3,10000,5000,6000000,1e-08,1e-08,0,61437,10979,11600,538296745,True,True,223784960.0,1145.0,5.6314974848445765,2453380.0,524.45,184.85079173406433,43661.0,3727474688.0,7804.55,74876.0,3705780.0
