Unnamed: 0,Unnamed: 0.1,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ts_filesize,vcf_filesize,vcfgz_filesize,tsinfer_completed,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,internal_nodes,internal_nodes_with_mutations
107,107,0,85000,5000,50000000,2e-08,1e-08,0,1026898,224522,119311,1467228203,45124956,20286717772,535431694,True,130728.03,2481.859690577237,667351.0,11596001280.0,15547.0,6.786229268143869,31893964.0,236915,55457
108,108,0,90000,5000,50000000,5e-09,1e-08,0,395960,56602,119231,691689745,22506812,21465450307,549111299,True,110376.42,696.8700643675049,338005.0,11179491328.0,6684.0,5.1659814455363815,20761852.0,130870,34494
109,109,0,90000,5000,50000000,1e-08,1e-08,0,616098,114385,120669,1930685648,30548388,21724331505,561195048,True,123762.09,1305.6877463829926,478067.0,12011122688.0,10352.0,5.7513203325192785,25726020.0,170141,44063
110,110,0,90000,5000,50000000,2e-08,1e-08,0,1043666,226110,120236,867599895,45973908,21646379451,560779049,True,139982.81999999998,2459.57580277109,678654.0,12275949568.0,15593.0,6.795918367346939,32529196.0,243466,56232
111,111,0,95000,5000,50000000,5e-09,1e-08,0,407858,57036,121007,519647712,23202044,22995276751,589588770,True,124393.6,679.425615306219,348379.0,11892277248.0,6674.0,5.196041582770295,21403692.0,136162,35165
112,112,0,95000,5000,50000000,1e-08,1e-08,0,627986,114782,121028,373959427,31191156,22999267365,603175709,True,124743.55,1305.7418041965484,484535.0,12605435904.0,10391.0,5.784180305363559,26162860.0,175504,44671
113,113,0,95000,5000,50000000,2e-08,1e-08,0,1048587,224607,119683,1021907544,46336924,22743678257,590662659,True,139586.91999999998,2489.7426050223003,683733.0,12798832640.0,15710.0,6.826203288639518,32876852.0,247905,56013
114,114,0,100000,5000,50000000,5e-09,1e-08,0,415986,56581,119453,855615444,23642180,23894526487,615420265,True,126978.2,645.1021746278022,348622.0,12249690112.0,6457.0,5.256189126436088,21531988.0,141124,35184
115,115,0,100000,5000,50000000,1e-08,1e-08,0,639294,115105,120564,646993230,31782532,24116758923,613858315,True,137669.99,1280.4494450069615,490716.0,13082759168.0,10302.0,5.838242992433256,26548860.0,180802,44817
116,116,0,100000,5000,50000000,2e-08,1e-08,0,1066306,226588,119932,1874578921,47185924,23990340584,612489589,True,148637.17,2342.996533048878,690772.0,13448753152.0,15282.0,6.852488939150448,33327468.0,254261,56406
117,117,1,5000,5000,50000000,5e-09,1e-08,0,167725,42105,91279,867755091,9752060,915438502,32230957,True,6978.36,1015.0321345627392,190164.0,1209933824.0,6367.0,4.728095474888115,10907820.0,32992,17077
118,118,1,5000,5000,50000000,1e-08,1e-08,0,325926,84319,90971,1043206958,15423324,912349484,31709212,True,6678.52,1852.9422228257831,281749.0,1280192512.0,9758.0,5.454438098925563,14100692.0,58848,25105
